Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Sectors for Entities as a filter
CANKURTARAN Caner,✅,❌,❌,❌,❌,❌,O
CANKURTARAN Mesut,✅,❌,❌,❌,❌,❌,O
CAR Besime,✅,❌,❌,❌,❌,❌,O
CHAIB Hicham,✅,❌,❌,❌,❌,❌,O
CHAMUTAEV Aslan Lemaevitch,✅,❌,❌,❌,❌,❌,O
CHEBAA AAMAÏMO Anware,✅,❌,❌,❌,❌,❌,O
CHEIKHI Yassine,❌,❌,❌,✅,✅,❌,O
CHELLOUK Siham,❌,❌,❌,❌,✅,❌,O
CHIKRI Hassan-Sedik,✅,❌,❌,❌,❌,❌,O
CHIOUA Soufiane,❌,❌,❌,✅,❌,❌,O
CHOUROUHOU Fatima,❌,✅,❌,❌,❌,✅,O
CHOUROUHOU Mohammed,✅,❌,❌,❌,❌,❌,O
CHUCHAEV Usman,✅,❌,❌,❌,❌,❌,O
DAKAEV Amin,❌,✅,❌,✅,❌,❌,O
DAMOUSS Abdelouahed,✅,❌,❌,❌,❌,❌,O
DAOUDI Ahmed,✅,❌,❌,❌,❌,❌,O
DARRAZI Mohamed,❌,❌,❌,✅,❌,❌,O
DASSY Abder-Rahman Amin Oubaïdoullah,✅,❌,❌,❌,❌,❌,O
DASSY Olivier,✅,❌,❌,❌,❌,❌,O
DE HERDT Evelyne,✅,❌,❌,❌,❌,❌,O
DE MULDER Brian,✅,❌,❌,❌,❌,❌,O
DEFAUWE Soufian,✅,❌,❌,❌,❌,❌,O
DETEMMERMAN Jasmine Michelle Georgette Ghislaine,✅,❌,❌,❌,❌,❌,O
DIHAJ Ahmed,✅,❌,❌,❌,❌,❌,O
DJANGA David,❌,❌,❌,✅,❌,❌,O
DJARDI El Khanssa,✅,❌,❌,❌,❌,❌,O
DJEDOU Sammy Yannis,✅,❌,❌,❌,❌,❌,O
DUDUEV Dinislam Alimsultanovitsj,✅,❌,❌,❌,❌,❌,O
EDIL SULTANOV Spartak,✅,❌,❌,❌,❌,❌,O
EFENDIEVA Khava Adlanovna,✅,❌,❌,✅,❌,❌,O
EJBILOU Faris,✅,❌,❌,❌,❌,❌,O
EL AZZOUZI Kaoutar,✅,❌,❌,❌,❌,❌,O
EL BAOUCHI Brahim,❌,❌,✅,❌,❌,❌,O
EL BOUJAMAÏ Amal,✅,❌,❌,❌,❌,❌,O
EL BOUZAIDI Zakaria,✅,❌,❌,❌,❌,✅,O
EL FIKRI Billel,✅,❌,❌,❌,✅,❌,O
EL FILALI Mohamed,✅,❌,❌,❌,❌,❌,O
EL GBOURI Yussuf,✅,❌,❌,❌,❌,❌,O
EL HAJJIOUI Abdellah,✅,❌,❌,❌,❌,❌,O
EL HARCHAOUI Abdelâli,✅,❌,❌,❌,❌,❌,O
EL HARCHAOUI Karam,✅,❌,❌,❌,❌,❌,O
EL HARCHI Ibrahim,✅,❌,❌,❌,❌,❌,O
EL HARCHI Ismail,✅,✅,❌,✅,✅,❌,O
EL KAROUNI Yassine,✅,❌,❌,❌,❌,❌,O
EL KHADAABIA Azzedine,❌,❌,❌,✅,✅,❌,O
EL KOUA Jamal,✅,❌,❌,❌,✅,❌,O
EL MAJDOUBI Loubna,❌,✅,✅,✅,❌,✅,O
EL MASSAOUDI Laila,✅,✅,❌,❌,❌,❌,O
EL MEJDOUBI Nour-Eddine,✅,❌,❌,❌,❌,❌,O
EL MIMOUNI Brahim,✅,❌,❌,❌,❌,❌,O
EL MIMOUNI Saida,✅,❌,❌,❌,❌,❌,O
EL MOUKHTARI Naïma,✅,❌,❌,❌,❌,❌,O
EL-BAHRI Hafid,✅,❌,❌,❌,❌,❌,O
ELHAMDAOUI Bilal,✅,❌,❌,❌,❌,❌,O
ELOUASSAKI Abdelkarim,✅,❌,❌,❌,❌,❌,O
ELOUASSAKI Houssien,✅,❌,❌,❌,❌,❌,O
ET-TALAIE Soraya,✅,❌,❌,❌,❌,❌,O
El MORABIT Ali,✅,❌,❌,❌,❌,❌,O
El MORABIT Saïd,✅,❌,❌,❌,❌,❌,O
GAINI Abdellatif,✅,❌,❌,❌,❌,❌,O
GERASIMOVSKA Bisera,✅,❌,❌,❌,❌,❌,O
GHANMI Saïd,✅,❌,❌,❌,❌,❌,O
GHARMAOUI Abdelmajid,✅,❌,❌,❌,❌,❌,O
GHELAM Fayçal,✅,❌,❌,❌,❌,❌,O
GUERMIT Fatma,✅,❌,❌,❌,❌,❌,O
HACHTI BERNANE Bilal,✅,❌,❌,❌,❌,❌,O
HACHTI BERNANE Khalid,✅,❌,❌,❌,❌,❌,O
HADDAD Mohamed Said,✅,❌,❌,❌,❌,❌,O
HADDOUCHI Anouar,✅,❌,❌,❌,❌,❌,O
HADJI Mohamed,✅,❌,❌,❌,❌,❌,O
HAJAOUI Redwane,✅,❌,❌,❌,❌,❌,O
HAJJI Ilhame,❌,✅,❌,❌,✅,❌,O
HAJJI Mohammed,✅,❌,❌,❌,❌,❌,O
HAJJIOUI Mohamed,❌,❌,❌,❌,❌,✅,O
HAJOUI Aziz,❌,❌,❌,❌,❌,✅,O
HAJRAOUI Nabil,❌,❌,❌,❌,❌,✅,O
HAKIMI Abdelkader,❌,✅,✅,✅,✅,❌,O
HAMDAOUI Abdelgabar,❌,❌,❌,✅,❌,❌,O
HAMDAOUI Driss,✅,✅,❌,❌,❌,❌,O
HAMMANI Sabah,❌,❌,❌,✅,❌,❌,O
HAMOUDAN Abdelhakim,✅,✅,✅,✅,✅,❌,O
HASAJEV Mansur Baudinovic,✅,❌,❌,❌,✅,❌,O
HASNAOUI Rachid,❌,❌,✅,❌,❌,❌,O
HMADA Faiza,✅,✅,❌,✅,✅,✅,O
HMADA Hakim,✅,❌,❌,❌,❌,❌,O
HOUACH Yassin,✅,❌,❌,❌,❌,❌,O
IBA Rachid,❌,❌,❌,✅,❌,❌,O
IBRAIMI Fatlume,✅,❌,❌,❌,❌,❌,O
IDDOUB Ismaïl,❌,❌,❌,✅,✅,❌,O
IDDOUB Zacharia,✅,❌,❌,❌,❌,❌,O
IMISHTI Arben,✅,❌,❌,❌,❌,❌,O
JAB-ALLAH Abdelilah,✅,❌,❌,❌,❌,❌,O
JADAOUN Tarik,❌,✅,✅,✅,✅,✅,O
JAHIR Medhi,❌,❌,❌,✅,❌,❌,O
JAMIAI Amine,✅,❌,❌,❌,✅,❌,O
JAMIAI Yassine,✅,❌,❌,❌,❌,❌,O
JATTARI Mohamed,✅,✅,✅,✅,✅,✅,O
JIYAR El Amine,❌,❌,❌,✅,✅,❌,O
JUMA Juma Junior,✅,❌,❌,❌,❌,❌,O
KADIR Karim,✅,❌,❌,❌,❌,❌,O
KAGERMANOV Adams,✅,❌,❌,❌,❌,❌,O
KASMI Nabil,✅,❌,❌,❌,❌,❌,O
KASSAH Samia,✅,❌,❌,❌,❌,❌,O
KBIR BOUNEKOUB Azeddine,✅,❌,❌,❌,❌,❌,O
KHALDI Youssef,✅,✅,✅,✅,✅,✅,O
KHALFIOUI Mohamed,❌,✅,❌,❌,❌,❌,O
KHALIL Ahmed Mohamed Zakaria,✅,✅,❌,✅,✅,❌,O
KHALLOUF Samira,✅,❌,❌,❌,❌,❌,O
KHAMVONGSA Rattanavongsone,✅,❌,❌,❌,❌,❌,O
KHARBACHE Hamza,✅,❌,❌,❌,❌,❌,O
KHARBACHE Youness,✅,❌,❌,❌,❌,❌,O
KHAYAOURI Mouslim Tarkhanovitch,✅,❌,❌,❌,❌,❌,O
KHEMISSI Ibrahim,✅,❌,❌,❌,❌,❌,O
KOUNDI Annas,❌,✅,❌,❌,❌,❌,O
KRIKET Reda,✅,❌,❌,❌,❌,❌,O
LAABADI Younes,✅,❌,❌,❌,❌,❌,O
LABRAK Brahim,✅,❌,❌,❌,❌,❌,O
LACHIRI Abdelmouneim,✅,❌,❌,❌,❌,❌,O
LACHIRI Yassine,❌,❌,❌,✅,❌,❌,O
LADRI Sami,✅,❌,❌,❌,❌,❌,O
LOUDGHIRI Houbayda,✅,❌,❌,❌,❌,❌,O
MAATOUCH Yassmina,❌,❌,❌,✅,❌,❌,O
MACHBOUÂA Hafsa,❌,❌,✅,✅,❌,❌,O
MAES Julie,❌,❌,❌,❌,❌,✅,O
MAHI Dniel,❌,❌,✅,✅,❌,❌,O
MAHRACH Karim,❌,❌,✅,❌,❌,❌,O
MAKAEV Musa Khamidovitch,❌,❌,❌,❌,✅,❌,O
MAKHAURI Ramzan Lechievitch,❌,❌,❌,✅,❌,❌,O
MAKHMOUDOV Oumar Zayndievitch,✅,❌,❌,❌,❌,❌,O
MAKOUH Hicham,✅,✅,❌,✅,❌,❌,O
MAKOUH Soufiane,❌,❌,❌,❌,✅,❌,O
MANTOUEVA Zareta Absatarovna,❌,❌,❌,✅,✅,❌,O
MARZKIOUI Nora,✅,❌,❌,❌,❌,❌,O
MATSAKOV Khongr,❌,❌,❌,❌,✅,❌,O
MATSAKOVA Viktoriya,✅,❌,❌,❌,❌,❌,O
MAYNE Yoni,✅,❌,❌,❌,❌,❌,O
MELHAOUI Abderrahim,❌,❌,❌,✅,❌,❌,O
MEZROUI Adel,✅,❌,✅,❌,✅,✅,O
MEZROUI Mohamed,✅,❌,❌,❌,❌,❌,O
MEZROUI Soufiane,✅,❌,❌,❌,❌,❌,O
MOHAMMADI Marwan,✅,❌,❌,❌,❌,❌,O
MOUSSA Abdenbi,❌,❌,✅,❌,❌,❌,O
MUHEFULA Mahemuti,✅,❌,❌,❌,❌,❌,O
MUREKATETE Fatou,✅,❌,❌,❌,❌,❌,O
MUSONERA François,❌,❌,❌,✅,❌,❌,O
NAIJIA Youssef,❌,❌,❌,❌,✅,❌,O
NAJI Hicham,✅,❌,❌,❌,❌,❌,O
NASSIRI Hakim,❌,❌,❌,✅,✅,❌,O
NAZARI Sami,❌,✅,❌,✅,❌,❌,O
NMILI Hamsa,✅,❌,❌,❌,❌,❌,O
NRHAILAT Soufiane,✅,❌,❌,❌,❌,❌,O
OUAHABI Mohssine,✅,❌,❌,❌,❌,❌,O
OUBAHID Moustapha,✅,❌,❌,❌,❌,✅,O
OUBAHID Taieb,❌,❌,❌,❌,✅,❌,O
OUMAROVA Amnat Biesumbayevna,❌,❌,❌,✅,❌,❌,O
OUMAROVA Petimat Oumarovna,❌,❌,❌,✅,❌,✅,O
OUMAROVA Rayana Oumarovna,✅,❌,❌,❌,❌,❌,O
OUSSAIDI Siham,❌,✅,❌,❌,❌,❌,O
OUSSAIH Fayssal,✅,❌,❌,✅,✅,✅,O
OUZEKHTI Abdelilah,❌,❌,❌,✅,✅,❌,O
PIDGEON Séan,❌,❌,❌,❌,✅,❌,O
PONCELET Marine,✅,❌,❌,❌,❌,❌,O
R'HA Abdelmonaim,✅,❌,❌,❌,❌,❌,O
R'SSAISSI Cehem,✅,❌,❌,❌,❌,❌,O
RADHOUANI Saber,✅,❌,❌,❌,❌,❌,O
REFLA Sabri,❌,❌,❌,✅,❌,❌,O
REGHAY Anis,❌,❌,❌,❌,✅,❌,O
ROBINSONOVA David,❌,✅,❌,❌,✅,❌,O
SARALAPOV Magomed,✅,❌,❌,❌,❌,❌,O
SARALIYEV Taimir,✅,❌,❌,❌,❌,❌,O
SARRAR Ouafae,❌,✅,❌,❌,✅,❌,O
SBAA Khalid,❌,❌,✅,✅,❌,❌,O
SBAI Monir,✅,✅,❌,❌,✅,✅,O
SBAI Najwa,✅,❌,❌,❌,❌,❌,O
SEBBARH Rachid,❌,❌,❌,✅,✅,❌,O
SETFAOUI Ines,✅,❌,❌,❌,❌,❌,O
SLITI Amor ben Mohamed,❌,❌,❌,✅,❌,❌,O
SOULAYMAN Mohamed,❌,❌,❌,✅,❌,❌,O
SOW Ibrahima,❌,✅,❌,❌,❌,❌,O
TAHIRI Azdine,✅,❌,❌,❌,❌,❌,O
TAKETLOUNE Tarik,❌,❌,❌,❌,❌,✅,O
TARAMOV Hussein Djamaldievitch,❌,❌,❌,✅,❌,❌,O
TEMSAMANI Rachid,✅,❌,❌,❌,❌,❌,O
VAN HESSCHE Luc,✅,❌,❌,❌,✅,❌,O
VERHOEVEN Nora,✅,❌,❌,❌,❌,❌,O
VISCHANOV Shamsti Zilaudievitsj,✅,❌,❌,❌,❌,❌,O
YAMOUN Feisal,✅,❌,❌,❌,❌,❌,O
YILDIZ Selin,✅,❌,❌,❌,❌,❌,O
YILDIZ Seçil,✅,❌,❌,❌,❌,❌,O
YOUCEF Salim,✅,❌,❌,❌,❌,❌,O
YOUSSOUPGER Danga,✅,❌,❌,❌,❌,❌,O
ZAHRI Yassine,✅,❌,❌,❌,❌,❌,O
ZAMROUNI Yasmina,✅,❌,❌,❌,❌,❌,O
ZARROUK Sami,✅,❌,❌,❌,❌,❌,O
ZARZOURI Fadia,❌,❌,❌,✅,❌,❌,O
ZIANI Ibrahim,❌,❌,❌,✅,❌,❌,O
ZINATI Bilal,❌,❌,❌,❌,✅,❌,O
ÖZDEMIR Isa,❌,❌,❌,✅,❌,❌,O
Abdallah Azzam Brigades,❌,❌,❌,✅,❌,❌,O
Abu Nidal Organization,✅,❌,❌,❌,❌,❌,O
Abu Sayyaf Group,✅,❌,❌,❌,❌,❌,O
Al Qaida,✅,❌,❌,❌,❌,❌,O
Al Qaida in the Arabian Peninsula,❌,❌,❌,✅,❌,❌,O
Al Qaida in the Indian Subcontinent,✅,❌,❌,❌,❌,❌,O
Al Qaida in the Islamic Maghreb,❌,❌,❌,❌,✅,✅,O
Al Shabaab,❌,❌,❌,✅,❌,❌,O
Al-Aqsa Martyrs' Brigade,❌,❌,❌,✅,❌,❌,O
Al-Ashtar Brigades,✅,❌,❌,❌,❌,❌,O
Al-Gama'a al-Islamiyya,✅,❌,❌,❌,❌,❌,O
Al-Murabitoun,✅,❌,❌,❌,❌,❌,O
Al-Muwaqi'un Bil Dima,✅,❌,❌,❌,❌,❌,O
Ansar Dine,✅,❌,❌,❌,❌,❌,O
Ansar al-Islam,❌,❌,❌,✅,❌,❌,O
Armed Islamic Group,❌,❌,❌,✅,❌,❌,O
Aryan Strikeforce,❌,❌,✅,❌,❌,❌,O
Asbat Al-Ansar,❌,❌,❌,❌,✅,❌,O
Atomwaffen Division,✅,❌,❌,❌,❌,❌,O
Aum Shinrikyo,✅,❌,❌,❌,❌,❌,O
Babbar Khalsa International,✅,❌,❌,❌,❌,❌,O
Blood & Honour,✅,❌,❌,❌,❌,❌,O
Boko Haram,✅,❌,❌,❌,❌,❌,O
Caucasus Emirate,❌,❌,❌,❌,✅,❌,O
Combat 18,❌,❌,❌,❌,❌,✅,O
Ejército de Liberación Nacional,✅,✅,❌,❌,✅,✅,O
Euskadi Ta Askatasuna,✅,❌,❌,❌,❌,❌,O
Fatemiyoun Division,✅,❌,❌,❌,❌,❌,O
Front de Libération du Macina,❌,❌,✅,✅,❌,❌,O
Fuerzas Armadas Revolucionarias de Colombia,✅,❌,❌,❌,❌,❌,O
Gulbuddin Hekmatyar,❌,✅,❌,❌,✅,✅,O
"Gulbuddin Hekmatyar's Faction of the Hezb-e Islami, Hezb-e Islami Gulbuddin",❌,✅,✅,✅,❌,❌,O
HASAM,❌,❌,❌,✅,❌,❌,O
Hamas,❌,❌,❌,✅,❌,❌,O
Haqqani Network,❌,❌,✅,✅,❌,❌,O
Harakat al-Sabireen,✅,❌,❌,❌,❌,❌,O
Harakat ul-Mudjahidin,✅,❌,❌,❌,❌,❌,O
Hay'at Tahrir al-Sham,❌,✅,✅,✅,✅,✅,O
Hizballah,✅,❌,❌,❌,❌,❌,O
Hizbul Mujahideen,✅,❌,❌,❌,❌,❌,O
Indian Mujahideen,✅,❌,❌,❌,❌,❌,O
International Relief Fund for the Afflicted and Needy - Canada,✅,❌,❌,❌,❌,❌,O
International Sikh Youth Federation,✅,❌,❌,❌,❌,❌,O
Islamic Movement of Uzbekistan,✅,❌,❌,❌,❌,❌,O
Islamic Revolutionary Guard Corps' Qods Force,✅,❌,❌,❌,❌,❌,O
Islamic State,✅,❌,❌,❌,❌,❌,O
Islamic State East Asia,✅,❌,❌,❌,❌,❌,O
Islamic State West Africa Province,❌,✅,❌,✅,✅,❌,O
Islamic State in Libya,✅,❌,❌,❌,❌,❌,O
Islamic State in the Greater Sahara,✅,❌,❌,❌,❌,❌,O
Islamic State – Bangladesh,✅,❌,❌,❌,❌,❌,O
Islamic State – Democratic Republic of the Congo,✅,❌,❌,❌,❌,❌,O
Islamic State – Khorasan Province,✅,❌,❌,❌,❌,❌,O
Islamic State – Sinai Province,✅,❌,❌,❌,❌,❌,O
Jaish-e-Mohammed,❌,❌,❌,✅,❌,❌,O
Jama’at Nusrat Al-Islam Wal-Muslimin,❌,✅,✅,✅,✅,✅,O
James Mason,✅,❌,❌,❌,❌,❌,O
Jaysh Al-Muhajirin Wal-Ansar,✅,❌,❌,❌,❌,❌,O
Jemaah Islamiyyah,✅,❌,❌,❌,❌,❌,O
Kahane Chai,❌,✅,❌,❌,❌,✅,O
Kurdistan Workers Party,✅,❌,❌,❌,❌,❌,O
Lashkar-e-Jhangvi,✅,❌,❌,❌,❌,❌,O
Lashkar-e-Tayyiba,❌,✅,❌,❌,❌,❌,O
Liberation Tigers of Tamil Eelam,✅,❌,❌,❌,❌,❌,O
Movement for Oneness and Jihad in West Africa,❌,❌,✅,❌,❌,❌,O
Palestine Liberation Front,❌,❌,✅,❌,❌,❌,O
Palestinian Islamic Jihad,✅,❌,❌,❌,✅,❌,O
Popular Front for the Liberation of Palestine,✅,❌,❌,❌,✅,❌,O
Popular Front for the Liberation of Palestine - General Command,✅,❌,❌,❌,❌,❌,O
Proud Boys,✅,❌,❌,❌,❌,❌,O
Russian Imperial Movement,✅,❌,❌,❌,❌,❌,O
Sendero Luminoso,✅,❌,❌,❌,✅,❌,O
Taliban,❌,❌,❌,✅,❌,❌,O
Tehrik-e-Taliban Pakistan,✅,❌,❌,❌,❌,❌,O
The Base,❌,❌,❌,✅,❌,❌,O
Three Percenters,✅,❌,❌,❌,❌,❌,O
World Tamil Movement,❌,❌,❌,✅,❌,❌,O
0x859481ef7dac321078547f50c756c8924eab183f,❌,❌,❌,✅,❌,❌,O
0x88cd1d4611d456357ef8620450d3121672305d03,✅,❌,❌,❌,❌,❌,O
1Pk9TAxrXE1sQeYx3KXN77TfNjBDPxeEnk,✅,❌,❌,❌,❌,❌,O
423nPDQqsPrAAgFSHaUBMrYQQCgb2562iLLWu1dZyEGEGsavxfpNxWtDjreSUzwqWQCxi6GrSz8jtYWjS4pW9mK9DoBVdWo,❌,✅,✅,✅,❌,❌,O
addr1qxwxppd3ahfsh43f88h4jn8ngrum64fe6meck3nnwkwgtsp6elsk4xhyrdtm5v6tnq3ulw9u9gcmvkhrj4xcu3sm60hqtz3wuy,❌,✅,❌,✅,❌,❌,O
bc1q2xjld87z45k2fuz48dqhntgh3e0k80ft0a46jd3ftwrqt4fnnyjqftd0ur,❌,✅,❌,❌,❌,❌,O
bc1q3jsfd54ja2jxnumjwq2ds6qn0yt0mye7lwvdmyft3a8a5w9d8hkqxfg6az,❌,❌,❌,✅,❌,❌,O
bc1q3ufme0prwe7xwacj32jt89r997xcwh2wmjkgl29acetvf3q0wz4sp50j05,❌,✅,❌,❌,❌,❌,O
bc1q48chzsuwxu7cz82p83mpekdns0u44c223r4dzsdd98d8l03ws7es484z23,✅,❌,❌,❌,❌,❌,O
bc1q4hqvw7a806yc8554nskuyqc4jc6juywzxcgprk0n25rtcj5z3dkqey0h9f,✅,❌,❌,❌,❌,❌,O
bc1q7r7escgmm7nq2jhc92nc2uh7tw3vzexzspge65ts06243pensl2spf67vn,✅,✅,❌,❌,✅,✅,O
bc1q82ejx54e9ra0la9n5whcaqegdr2f5j6ep0kep7,❌,❌,❌,✅,❌,❌,O
bc1q86ceuvc0580rddxmqujhu3huxkcykrns2jah4vhqnlr67jdkh43sd5gcgr,❌,❌,✅,❌,✅,❌,O
bc1q8lrztgk9tkedvhu6hzvvc7ps2cf6t2t4hj5jdf6p38asc407wxzsl40gkx,❌,✅,❌,✅,✅,❌,O
bc1q8tf0hn3vda0pgkhej73unz338wstxvll9qryv5hj3rtwah2j6mlqx3ce99,✅,❌,❌,❌,✅,✅,O
bc1q96z7hleyh2fvqmgc8s9yw0650u3uwjv7mrpsfjf2ltz8wvctmcnsyhk50c,✅,❌,❌,❌,✅,❌,O
bc1qahvu2rtjyze9gn50skcs2q06vpfnznwdnsa9scxv5y6axudksskq2ku6hd,✅,❌,❌,❌,✅,❌,O
bc1qcg44z6ly3h3635gfzkehx4lg22ks7ndy3dzzh0qyv3eqmzrwehnsk58gwr,✅,❌,❌,❌,✅,❌,O
bc1qepl9mm4qq7eqtvhe3ys3ymwvs4z3rmyuhvfs3scsysnjdqkvhepsfp6ven,✅,❌,❌,❌,✅,❌,O
bc1qfcrw4nf659e4s8d9yaldltac75awrpqeqh76du68qzw8q0m7276sw0q3uh,✅,❌,❌,❌,❌,❌,O
bc1qg3aeueyd4947tk9kfnzhrssxgjy0ctn8zcjcdg0tk0gchzwfq7zq4zlnse,✅,❌,❌,❌,❌,❌,O
bc1qg76ahdnvxwwfd8l05wh0u4y54sht2s4djqmp2vt0levqz7s62l9q4wh33n,✅,❌,❌,❌,❌,❌,O
bc1qhdek8my95y8pvxvj8lwmvdqcrkf6a5ny6l9lqyw42s2tz8rcgg0qrrz8yf,✅,❌,❌,❌,❌,❌,O
bc1qlc2gpmzrr9gded07d9a40lt2lq7pp2v7h4c5jx,❌,❌,❌,✅,✅,❌,O
bc1qsdherstsd6f8rswt0pklv3gckwtjtaszswzlmgdrat9hkvpwpqpsvcd39z,❌,❌,❌,✅,✅,❌,O
bc1qt6t5lddw7vxdzmcz0cdl6xnyrjfmu2ywd64g0pw6k7czwl5xhfxs3e5sff,✅,❌,❌,❌,❌,❌,O
bc1qun9qcxesc6avaa30anl0jvs36h3cy6nq7xh36yvx9frmqc8v6khq4nwnv0,✅,❌,❌,❌,❌,❌,O
bc1qv3aa6wepvttlcy7kuvpmfzar93ku2yppp72tm0zfecj20h04r58sn7wvhq,✅,❌,❌,❌,❌,❌,O
bc1qv7k0hltgg5vdquy86z8m48wp7ul92hdddp2emh2ppra0slzvg86q8uv9g9,✅,❌,❌,❌,❌,❌,O
bc1qv7k0hltgg5vdquy86z8m48wp7ul92hdddp2emh2ppra0slzvg86q8uv9g9,✅,❌,❌,❌,❌,❌,O
bc1qvetv2l3v508lmpral067kghhm6x6nsm70rgwhx,❌,❌,❌,❌,❌,✅,O
bc1qxxwx7r30fspqng769h080rqx4y2eksmwcecvrwyk7uwyl6lr0hnsllr9re,✅,❌,❌,❌,❌,❌,O
bc1qzrst06qg2ve7x9a45z94hal882ecx9eqvcxttpq400cvqk6hkr6q0rcvjs,✅,❌,❌,❌,❌,❌,O
ltc1qqhzc2dflesccd5gx6ugqqgcplzakrk8wlxl8zq,✅,❌,❌,❌,❌,❌,O
140 Repair Plant,❌,❌,❌,❌,✅,✅,O
24x7 Panoptes,✅,✅,❌,✅,❌,❌,O
558 Aircraft Repair Plant,✅,❌,❌,❌,❌,❌,O
AGAT Electromechanical Plant,✅,❌,❌,❌,❌,❌,O
Absolutbank,❌,❌,❌,❌,✅,❌,O
Aleksandr Alyoksa,✅,❌,❌,❌,❌,❌,O
Aleksandr Bykov,✅,❌,❌,❌,❌,❌,O
Aleksandr Grigoryevich Lukashenko,✅,❌,❌,❌,❌,❌,O
Aleksandr Grigoryevich VOLFOVICH,✅,❌,❌,❌,❌,❌,O
Aleksandr Mikhailovich Aleshkevich,✅,❌,❌,❌,❌,❌,O
Aleksandr Mikhailovich Losyakin,✅,❌,❌,❌,✅,❌,O
Aleksandr Nikolayevich Zaitsev,✅,✅,❌,❌,❌,❌,O
Aleksandr Pavlovich Vasilyev,❌,❌,❌,❌,✅,❌,O
Aleksandr Petrovich Barsukov,✅,❌,❌,❌,❌,❌,O
Aleksandr Svyatoslavovich Shepelev,❌,❌,❌,❌,❌,✅,O
Aleksandr Vasilevich SHAKUTIN,✅,❌,❌,❌,❌,❌,O
Aleksandr Viktorovich NAUMENKO,❌,❌,❌,✅,❌,❌,O
Aleksandr Vladimirovich Konyuk,✅,❌,❌,❌,❌,❌,O
Aleksandr Vladimirovich Vasiliuk,✅,❌,❌,❌,❌,❌,O
Aleksandr Vyacheslavovich Astreyko,✅,❌,❌,❌,❌,❌,O
Aleksandr Zhivlyuk,✅,❌,❌,❌,❌,❌,O
Aleksey Aleksandrovich Volkov,❌,❌,❌,❌,✅,❌,O
Aleksey Nikolayevich Avramenko,❌,❌,❌,✅,✅,❌,O
Aleksey Oleksin,✅,❌,❌,❌,❌,❌,O
Alexander Ivanovich BAS,✅,❌,❌,❌,❌,❌,O
Aliaksandr Petrovich VETENEVICH,✅,❌,❌,❌,❌,❌,O
Aliaksandr Yauhenavich SHATROU,✅,❌,❌,❌,❌,❌,O
Alina Sergeevna Kasyanchyk,✅,❌,❌,❌,❌,❌,O
Amkodor Holding,✅,❌,❌,❌,❌,❌,O
Anatol Lapo,✅,❌,❌,❌,❌,❌,O
Anatoliy Anatolievich BULAVKO,✅,❌,❌,❌,❌,❌,O
Anatoly Anatolyevich Vasilyev,✅,❌,❌,❌,❌,❌,O
Anatoly Andreevich TERNAVSKY,✅,❌,❌,❌,❌,❌,O
Anatoly Mechislavovich MARKEVICH,✅,❌,❌,❌,❌,❌,O
Andrei Makarevich,✅,❌,❌,❌,❌,❌,O
Andrei Parshyn,✅,❌,❌,❌,❌,❌,O
Andrey Alekseyevich Ravkov,✅,❌,❌,❌,❌,❌,O
Andrey Anatolyevich Gurzhiy,✅,❌,❌,❌,❌,❌,O
Andrey Fedorovich Smal,✅,❌,❌,❌,❌,❌,O
Andrey Ivanovich Shved,✅,❌,❌,❌,❌,❌,O
Andrey Nikolayevich Gurtsevich,✅,❌,❌,❌,❌,❌,O
Andrey Valeryanovich BURDYKO,✅,❌,❌,❌,❌,❌,O
Andrey Vasilyevich Galenka,✅,❌,❌,❌,❌,❌,O
Andrey Vladimirovich ZHUK,✅,❌,❌,❌,❌,❌,O
Andrey Yuryevich Pavlyuchenko,❌,❌,❌,✅,✅,❌,O
Artem Igorevich Sikorsky,❌,✅,❌,❌,❌,❌,O
Bank Dabrabyt,❌,❌,❌,✅,❌,❌,O
BelTechExport,❌,❌,❌,✅,❌,❌,O
Belaeronavigatsia Republican Unitary Air Navigation Services Enterprise,❌,❌,❌,✅,✅,❌,O
Belagroprombank,✅,❌,❌,❌,✅,❌,O
Belarusbank,✅,❌,❌,❌,❌,❌,O
Belarusian Potash Company,✅,❌,❌,❌,❌,❌,O
Belaruskali OAO,✅,❌,❌,❌,❌,❌,O
Belarusski Avtomobilnyi Zavod BelAZ (Belarusian Automobile Plant),❌,❌,❌,✅,✅,❌,O
Belbizneslizing,✅,❌,❌,❌,❌,❌,O
Belinvest-Engineering,❌,❌,❌,✅,✅,❌,O
Belinvestbank,✅,❌,❌,✅,✅,❌,O
Belneftkhim,❌,❌,❌,✅,❌,❌,O
Belspetsvneshtechnika,❌,❌,❌,✅,❌,❌,O
Bremino Group,❌,❌,❌,✅,❌,❌,O
Denis Aleksandrovich MIKUSHEV,❌,❌,❌,✅,❌,❌,O
Denis Chemodanov,❌,❌,❌,✅,❌,❌,O
Dmitri Ivanovich SUROVICH,❌,❌,❌,✅,❌,❌,O
Dmitriy Karsyuk,❌,❌,❌,✅,❌,❌,O
Dmitriy Korzyuk,❌,❌,❌,✅,❌,❌,O
Dmitriy Kovach,❌,❌,❌,✅,❌,❌,O
Dmitry Aleksandrovich PANTUS,✅,❌,❌,❌,❌,❌,O
Dmitry Alexandrovich ZABROTSKY,❌,❌,❌,❌,✅,✅,O
Dmitry Anatolievich MIHOLAP,❌,✅,❌,❌,✅,❌,O
